과목명,교수명,개설학과전공,이수구분,영역,캠퍼스,수업유형,출결,시험,과제,조모임,성적,강의 시간,강의력,평점,전체 벡터
미적분과 벡터해석 기초,강영훈,수리통계데이터사이언스학부,공통교양,경험적수리적추리,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,1,0.5,"[0.6, 0.0, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 1.0]"
미적분과 벡터해석 기초,강성봉,수리통계데이터사이언스학부,공통교양,경험적수리적추리,"[0, 1]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,1,0.5,"[0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 0, 1, 1.0]"
기초 통계학,원형묵,수리통계데이터사이언스학부,공통교양,경험적수리적추리,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[1, 0, 0, 0]",1,0.5,0.5,"[0.6, 0.0, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0.5, 0, 0, 3, 1, 0, 1.0]"
기초 통계학,김계완,수리통계데이터사이언스학부,공통교양,경험적수리적추리,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",1,0.5,0.2,"[0.6, 1.0, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1.0, 0.5, 0, 0, 3, 1, 0, 0.4]"
일반화학 Ⅰ,이향애,화학·에너지융합학부,핵심교양,자연의설명,"[0, 1]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.3,"[0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1.0, 0.5, 0, 0, 3, 0, 1, 0.6]"
일반화학 Ⅰ,이향애,화학·에너지융합학부,핵심교양,자연의설명,"[0, 1]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.3,"[0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1.0, 0.5, 0, 0, 3, 0, 1, 0.6]"
일반화학 Ⅰ,이향애,화학·에너지융합학부,핵심교양,자연의설명,"[0, 1]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.3,"[0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1.0, 0.5, 0, 0, 3, 0, 1, 0.6]"
파이썬프로그래밍,김대영,공과대학,공통교양,SW문해,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
파이썬프로그래밍,정영희,공과대학,공통교양,SW문해,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
파이썬프로그래밍,이영한,공과대학,공통교양,SW문해,"[1, 0]","[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,1,0.5,"[0.6, 0.0, 0.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 0, 1, 0, 1.0]"
파이썬프로그래밍,서동수,공과대학,공통교양,SW문해,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
파이썬프로그래밍,이민수,공과대학,공통교양,SW문해,"[1, 0]","[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",0,0.5,0.5,"[0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
파이썬프로그래밍,정영범,공과대학,공통교양,SW문해,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0.6, 0.5, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 1.0]"
파이썬프로그래밍,차영화,공과대학,공통교양,SW문해,"[0, 1]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0.6, 0.5, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1.0, 1.0, 0, 0, 3, 0, 1, 1.0]"
파이썬프로그래밍,이두열,공과대학,공통교양,SW문해,"[0, 1]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,0.5,0.2,"[0.6, 0.5, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1.0, 0.5, 0, 0, 3, 0, 1, 0.4]"
파이썬프로그래밍,유정화,공과대학,공통교양,SW문해,"[0, 1]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0.5,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 0, 1, 1.0]"
일반생물학 Ⅰ,윤진호,바이오생명공학과,핵심교양,자연의설명,"[0, 1]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",1,1,0.4,"[0.6, 1.0, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1.0, 1.0, 0, 0, 3, 0, 1, 0.8]"
일반생물학 Ⅰ,현경아,바이오생명공학과,핵심교양,자연의설명,"[0, 1]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,1,0.5,"[0.6, 0.0, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 0, 1, 1.0]"
일반생물학 Ⅰ,권혜경,바이오생명공학과,핵심교양,자연의설명,"[0, 1]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",1,1,0.5,"[0.6, 0.0, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1.0, 1.0, 0, 0, 3, 0, 1, 1.0]"
일반생물학 Ⅰ,현경아,바이오생명공학과,핵심교양,자연의설명,"[0, 1]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,1,0.5,"[0.6, 0.0, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 0, 1, 1.0]"
비판적 사고와 토론,석기용,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
비판적 사고와 토론,김준석,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
비판적 사고와 토론,강희경,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
비판적 사고와 토론,성창기,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,0.5,"[0, 1, 0, 0]",1,0.5,0.4,"[0.4, 0.5, 0.5, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1.0, 0.5, 0, 0, 3, 1, 0, 0.8]"
비판적 사고와 토론,이재춘,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,1,"[0, 1, 0, 0]",1,0.5,0.3,"[0.4, 0.5, 1.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1.0, 0.5, 0, 0, 3, 1, 0, 0.6]"
비판적 사고와 토론,임우형,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,1,"[0, 1, 0, 0]",1,1,0.4,"[0.4, 0.5, 1.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 0.8]"
비판적 사고와 토론,성창기,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,0.5,"[0, 1, 0, 0]",1,0.5,0.4,"[0.4, 0.5, 0.5, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1.0, 0.5, 0, 0, 3, 1, 0, 0.8]"
비판적 사고와 토론,이재춘,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,1,"[0, 1, 0, 0]",1,0.5,0.3,"[0.4, 0.5, 1.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1.0, 0.5, 0, 0, 3, 1, 0, 0.6]"
비판적 사고와 토론,강희경,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
비판적 사고와 토론,김준석,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
비판적 사고와 토론,석기용,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
비판적 사고와 토론,김준석,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
비판적 사고와 토론,강희경,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
비판적 사고와 토론,김형중,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,1,"[0, 1, 0, 0]",0,1,0.4,"[0.4, 0.5, 1.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.8]"
비판적 사고와 토론,전지은,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
비판적 사고와 토론,주민재,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,0.5,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 0.5, 0, 0, 3, 1, 0, 0.0]"
비판적 사고와 토론,기유정,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
비판적 사고와 토론,기유정,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
비판적 사고와 토론,전지은,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
비판적 사고와 토론,김준석,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
비판적 사고와 토론,강희경,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
비판적 사고와 토론,이성준,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,1,"[0, 1, 0, 0]",0,1,0.3,"[0.4, 0.5, 1.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.6]"
비판적 사고와 토론,손성우,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
비판적 사고와 토론,엄상희,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0.5,1,"[0, 1, 0, 0]",1,0.5,0.3,"[0.4, 0.5, 1.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1.0, 0.5, 0, 0, 3, 1, 0, 0.6]"
비판적 사고와 토론,오윤정,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,0.5,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 0.5, 0, 0, 3, 1, 0, 0.0]"
비판적 사고와 토론,김준석,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
비판적 사고와 토론,강희경,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
비판적 사고와 토론,이성준,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,1,"[0, 1, 0, 0]",0,1,0.3,"[0.4, 0.5, 1.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.6]"
비판적 사고와 토론,오윤정,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,0.5,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 0.5, 0, 0, 3, 1, 0, 0.0]"
비판적 사고와 토론,손성우,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
비판적 사고와 토론,류경동,창의융합학부,공통교양,영역없음,"[0, 1]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 0, 1, 0.0]"
비판적 사고와 토론,허찬,창의융합학부,공통교양,영역없음,"[0, 1]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 0, 1, 0.0]"
비판적 사고와 토론,이정환,창의융합학부,공통교양,영역없음,"[0, 1]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0.5,0.5,"[0, 1, 0, 0]",0,1,0.4,"[0.4, 0.5, 0.5, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 0, 1, 0.8]"
비판적 사고와 토론,이성근,창의융합학부,공통교양,영역없음,"[0, 1]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.2,0.5,0.5,"[0, 1, 0, 0]",0,0.5,0.4,"[0.2, 0.5, 0.5, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 0.5, 0, 0, 3, 0, 1, 0.8]"
비판적 사고와 토론,류경동,창의융합학부,공통교양,영역없음,"[0, 1]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 0, 1, 0.0]"
비판적 사고와 토론,허찬,창의융합학부,공통교양,영역없음,"[0, 1]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 0, 1, 0.0]"
비판적 사고와 토론,이정환,창의융합학부,공통교양,영역없음,"[0, 1]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0.5,0.5,"[0, 1, 0, 0]",0,1,0.4,"[0.4, 0.5, 0.5, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 0, 1, 0.8]"
비판적 사고와 토론,이성근,창의융합학부,공통교양,영역없음,"[0, 1]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.2,0.5,0.5,"[0, 1, 0, 0]",0,0.5,0.4,"[0.2, 0.5, 0.5, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 0.5, 0, 0, 3, 0, 1, 0.8]"
비판적 사고와 토론,김형중,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[1, 0, 0, 0, 0]",0.4,0.5,1,"[0, 1, 0, 0]",0,1,0.4,"[0.4, 0.5, 1.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.8]"
비판적 사고와 토론,김준석,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
창조적 사고와 글쓰기,김예니,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
창조적 사고와 글쓰기,조별,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
창조적 사고와 글쓰기,방금단,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,0.5,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 0.5, 0, 0, 3, 1, 0, 0.0]"
창조적 사고와 글쓰기,김나영,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,0.5,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 0.5, 0, 0, 3, 1, 0, 0.0]"
창조적 사고와 글쓰기,선민서,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,1,0.5,"[0, 1, 0, 0]",0,1,0.4,"[0.6, 1.0, 0.5, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.8]"
창조적 사고와 글쓰기,최지선,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,1,0.5,"[0, 1, 0, 0]",1,1,0.5,"[0.6, 1.0, 0.5, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 1.0]"
창조적 사고와 글쓰기,김예니,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
창조적 사고와 글쓰기,조별,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
창조적 사고와 글쓰기,방금단,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,0.5,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 0.5, 0, 0, 3, 1, 0, 0.0]"
창조적 사고와 글쓰기,김난경,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,0.5,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 0.5, 0, 0, 3, 1, 0, 0.0]"
창조적 사고와 글쓰기,방금단,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,0.5,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 0.5, 0, 0, 3, 1, 0, 0.0]"
창조적 사고와 글쓰기,박은미,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,1,1,"[0, 1, 0, 0]",1,1,0.4,"[0.6, 1.0, 1.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 0.8]"
창조적 사고와 글쓰기,정현숙,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[0, 1, 0, 0]",1,1,0.5,"[0.6, 0.5, 0.0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 1.0]"
창조적 사고와 글쓰기,조별,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,1,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 1.0, 0, 0, 3, 1, 0, 0.0]"
창조적 사고와 글쓰기,이은우,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,0.5,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 0.5, 0, 0, 3, 1, 0, 0.0]"
창조적 사고와 글쓰기,탁원정,창의융합학부,공통교양,영역없음,"[1, 0]","[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",1,0.5,0,"[0.4, 0.5, 0.5, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1.0, 0.5, 0, 0, 3, 1, 0, 0.0]"
