과목명,교수명,개설학과전공,이수구분,영역,캠퍼스,수업유형,수강안내 및 지정내용,평점,출결,시험,과제,조모임,성적,강의 시간,강의력,확인,시간표,필수,전체 벡터
A Journey through Drama and Film,수잔 홀랜드,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,1,"[1, 0, 0, 0, 0]",0.6,1,1,"[0, 1, 0, 0]",0,1,,수/1-3,필수아님,"[0.6, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
Short Stories of the World,메스 닐슨,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,1,"[0, 0, 0, 0, 0]",0.6,0,0,"[0, 0, 0, 0]",0,1,,금/4-6,필수아님,"[0.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
British Culture and History,올리버 테리,공통,공통교양,영어,"[0, 1]","[0, 0, 3]",,1,"[1, 0, 0, 0, 0]",0.6,1,0,"[1, 0, 0, 0]",0,1,,목/4-6,필수아님,"[0.6, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
Understanding Western Culture,다릴 로스,공통,공통교양,영어,"[0, 1]","[0, 0, 3]",,1,"[0, 0, 0, 0, 0]",0.6,1,1,"[0, 0, 0, 0]",0,1,,금/1-3,필수아님,"[0.6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
World News Analysis and Discourse,존 다니엘 맥카시,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,0,"[0, 0, 0, 0, 0]",0.6,0,1,"[0, 0, 0, 0]",0,1,,금/4-6,필수아님,"[0.6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.0]"
Introduction to Social Psychology,조나단 리스 팬톤,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,0.6,"[0, 1, 0, 0, 0]",0.6,1,1,"[0, 1, 0, 0]",0,1,,수/1-3,필수아님,"[0.6, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.6]"
"Global Communication through Food, Travel & Culture",스티븐 파이겐바움,공통,공통교양,영어,"[0, 1]","[0, 0, 3]",,1,"[0, 0, 0, 1, 0]",0.6,1,1,"[0, 1, 0, 0]",0,1,늦게 시작함,금/4-6,필수아님,"[0.6, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
A Journey through Harry Potter,콜 헌트,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,1,"[0, 1, 0, 0, 0]",0.6,1,1,"[0, 1, 0, 0]",1,1,,금/4-6,필수아님,"[0.6, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1.0, 0, 0, 3, 1, 0, 1.0]"
North American Women in Art,앤드리아 톨레프슨,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,0,"[0, 0, 0, 0, 0]",0.6,0,1,"[0, 0, 0, 0]",0,1,,목/7-9,필수아님,"[0.6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.0]"
English Listening on Current Affairs,김장욱,공통,공통교양,영어,"[0, 1]","[0, 0, 3]",,1,"[0, 0, 0, 0, 0]",0.6,0,0,"[0, 0, 0, 0]",0,1,,목/7-9,필수아님,"[0.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
Vocabularies and Expressions for English Learners,김장욱,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,0.8,"[0, 1, 0, 0, 0]",0.6,1,1,"[1, 0, 0, 0]",0,1,,수/10-12,필수아님,"[0.6, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.8]"
Elements of the Mystery Story,메스 닐슨,공통,공통교양,영어,"[0, 1]","[0, 0, 3]",,1,"[0, 0, 0, 0, 0]",0.6,0,0,"[0, 0, 0, 0]",0,1,,목/4-6,필수아님,"[0.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
A Journey to the Museum,김장욱,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,0.8,"[0, 1, 0, 0, 0]",0.6,1,1,"[1, 0, 0, 0]",0,0,,금/4-6,필수아님,"[0.6, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0.0, 0, 0, 3, 1, 0, 0.8]"
Digital Literacy: English for the Web,다릴 로스,공통,공통교양,영어,"[0, 1]","[0, 0, 3]",,1,"[1, 0, 0, 0, 0]",0.6,0,1,"[1, 0, 0, 0]",0,1,,목/4-6,필수아님,"[0.6, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
American Culture and History,존 다니엘 맥카시,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,1,"[1, 0, 0, 0, 0]",0.6,1,1,"[0, 1, 0, 0]",0,1,,목/7-9,필수아님,"[0.6, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
Developing Positive Mind,조나단 리스 팬톤,공통,공통교양,영어,"[0, 1]","[0, 0, 3]",,1,"[1, 0, 0, 0, 0]",0.6,1,0,"[1, 0, 0, 0]",0,1,,금/1-3,필수아님,"[0.6, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
Issues in American Justice,존 다니엘 맥카시,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,1,"[1, 0, 0, 0, 0]",0.6,1,1,"[1, 0, 0, 0]",1,1,영어강의라 못알아 듣는걸 나쁘다고 처리된 것 같음,금/7-9,필수아님,"[0.6, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1.0, 0, 0, 3, 1, 0, 1.0]"
Dive into Diversity: A Cross-Cultural Journey,조나단 리스 팬톤,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,0,"[0, 0, 0, 0, 0]",0.6,1,1,"[0, 0, 0, 0]",0,1,,목/4-6,필수아님,"[0.6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.0]"
Understanding Human Rights,올리버 테리,공통,공통교양,영어,"[0, 1]","[0, 0, 3]",,1,"[1, 0, 0, 0, 0]",0.6,1,1,"[0, 1, 0, 0]",0,1,,목/7-9,필수아님,"[0.6, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
Global Citizenship Education and Global Leadership,로난 맥알리스터,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,1,"[1, 0, 0, 0, 0]",0.6,1,1,"[0, 1, 0, 0]",0,1,,목/4-6,필수아님,"[0.6, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
Exploring the World of Sports,스티븐 파이겐바움,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,1,"[0, 0, 0, 1, 0]",0.6,1,1,"[0, 1, 0, 0]",0,1,,수/1-3,필수아님,"[0.6, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
Basic English Communication,로난 맥알리스터,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,1,"[0, 0, 0, 0, 0]",0.6,0,1,"[1, 0, 0, 0]",0,1,,월/1-3,필수아님,"[0.6, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
Basic English Communication,다릴 로스,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,1,"[1, 0, 0, 0, 0]",0.6,0,1,"[1, 0, 0, 0]",0,1,,월/1-3,필수아님,"[0.6, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
Basic English Communication,스티븐 파이겐바움,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,1,"[0, 0, 0, 0, 0]",0.6,0,1,"[0, 1, 0, 0]",0,1,,월/1-3,필수아님,"[0.6, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
Basic English Communication,앤드리아 톨레프슨,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,1,"[1, 0, 0, 0, 0]",0.6,1,1,"[0, 1, 0, 0]",0,1,,월/1-3,필수아님,"[0.6, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
Basic English Communication,메스 닐슨,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,1,"[0, 0, 0, 1, 0]",0.6,0,1,"[0, 1, 0, 0]",0,1,,월/1-3,필수아님,"[0.6, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
Basic English Communication,수잔 홀랜드,공통,공통교양,영어,"[0, 1]","[0, 0, 3]",,1,"[0, 0, 0, 0, 0]",0.6,0,1,"[0, 0, 0, 0]",0,1,,월/1-3,필수아님,"[0.6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
Basic English Communication,콜 헌트,공통,공통교양,영어,"[0, 1]","[0, 0, 3]",,0.8,"[0, 1, 0, 0, 0]",0.6,0,1,"[0, 1, 0, 0]",0,1,,월/1-3,필수아님,"[0.6, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 0.8]"
Basic English Communication,존 다니엘 맥카시,공통,공통교양,영어,"[0, 1]","[0, 0, 3]",,1,"[1, 0, 0, 0, 0]",0.6,0,1,"[0, 1, 0, 0]",0,1,,월/1-3,필수아님,"[0.6, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
Intermediate English Communication,수잔 홀랜드,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,0,"[0, 0, 0, 0, 0]",0.6,0,0,"[0, 0, 0, 0]",0,1,,금/1-3,필수아님,"[0.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.0]"
Intermediate English Communication,콜 헌트,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,1,"[0, 0, 0, 0, 0]",0.6,1,1,"[0, 0, 0, 0]",0,1,,금/1-3,필수아님,"[0.6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
Intermediate English Communication,메스 닐슨,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,0.8,"[0, 0, 0, 0, 0]",0.6,0,0,"[0, 0, 0, 0]",0,1,,금/1-3,필수아님,"[0.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.8]"
Intermediate English Communication,로난 맥알리스터,공통,공통교양,영어,"[0, 1]","[0, 0, 3]",,1,"[0, 0, 0, 0, 0]",0.6,0,1,"[0, 0, 0, 0]",0,1,,금/1-3,필수아님,"[0.6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
Intermediate English Communication,스티븐 파이겐바움,공통,공통교양,영어,"[0, 1]","[0, 0, 3]",,0,"[0, 0, 0, 0, 0]",0.6,0,0,"[0, 0, 0, 0]",0,1,,금/1-3,필수아님,"[0.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 0.0]"
Advanced English Communication,로난 맥알리스터,공통,공통교양,영어,"[0, 1]","[0, 0, 3]",,1,"[1, 0, 0, 0, 0]",0.6,0,0,"[1, 0, 0, 0]",0,1,,금/4-6,필수아님,"[0.6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
Advanced English Communication,올리버 테리,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,1,"[0, 0, 0, 0, 0]",0.6,1,0,"[0, 0, 0, 0]",0,1,,금/4-6,필수아님,"[0.6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
ImaginEd: Power of Metaphor and Media in Learning,다릴 로스,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,1,"[0, 0, 0, 0, 0]",0.6,1,1,"[0, 0, 0, 0]",0,1,,수/1-3,필수아님,"[0.6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
"Dystopian Media: Language, Society, and the Future",앤드리아 톨레프슨,공통,공통교양,영어,"[0, 1]","[0, 0, 3]",,0.8,"[1, 0, 0, 0, 0]",0.6,1,1,"[0, 1, 0, 0]",0,1,,수/1-3,필수아님,"[0.6, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 0.8]"
Digital Resilience: Fake News and Algorithms,조나단 리스 팬톤,공통,공통교양,영어,"[0, 1]","[0, 0, 3]",,1,"[0, 0, 0, 0, 0]",0.6,1,1,"[0, 1, 0, 0]",0,1,,금/4-6,필수아님,"[0.6, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
Social Media Content Creation,콜 헌트,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,1,"[0, 0, 0, 0, 0]",0.6,1,1,"[0, 0, 0, 0]",0,1,,수/1-3,필수아님,"[0.6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
Navigating Life Overseas,로난 맥알리스터,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,1,"[1, 0, 0, 0, 0]",0.6,0,1,"[1, 0, 0, 0]",0,1,,수/1-3,필수아님,"[0.6, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
Australian Culture and History,올리버 테리,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,0,"[0, 0, 0, 0, 0]",0.6,1,0,"[0, 0, 0, 0]",0,1,,수/1-3,필수아님,"[0.6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.0]"
Canadian Culture and History,앤드리아 톨레프슨,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,1,"[0, 0, 0, 0, 0]",0.2,1,1,"[0, 0, 0, 0]",0,1,,목/4-6,필수아님,"[0.2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
Historical Turning Points,올리버 테리,공통,공통교양,영어,"[1, 0]","[0, 0, 3]",,1,"[0, 0, 0, 0, 0]",0.6,1,1,"[0, 0, 0, 0]",0,1,,금/7-9,필수아님,"[0.6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
공통 중국어,리우 나,공통,공통교양,제2외국어,"[0, 1]","[0, 0, 3]",※ 수강신청 가능 여부와 상관 없이 수강 제한 대상에 해당하는 학생이 수강신청한 경우 수강 취소 처리할 수 있습니다.,1,"[0, 1, 0, 0, 0]",0.6,1,0,"[1, 0, 0, 0]",1,1,,월/1-3,필수아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1.0, 0, 0, 3, 0, 1, 1.0]"
공통 중국어,송향경,공통,공통교양,제2외국어,"[1, 0]","[0, 0, 3]",※ 수강신청 가능 여부와 상관 없이 수강 제한 대상에 해당하는 학생이 수강신청한 경우 수강 취소 처리할 수 있습니다.,1,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,0.5,,금/4-6,필수아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.5, 0, 0, 3, 1, 0, 1.0]"
공통 중국어,신준호,공통,공통교양,제2외국어,"[1, 0]","[0, 0, 3]",※ 수강신청 가능 여부와 상관 없이 수강 제한 대상에 해당하는 학생이 수강신청한 경우 수강 취소 처리할 수 있습니다.,1,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",1,1,,수/1-3,필수아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1.0, 0, 0, 3, 1, 0, 1.0]"
공통 일본어,김현희,공통,공통교양,제2외국어,"[1, 0]","[0, 0, 3]",※ 수강신청 가능 여부와 상관 없이 수강 제한 대상에 해당하는 학생이 수강신청한 경우 수강 취소 처리할 수 있습니다.,1,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",1,1,,수/1-3,필수아님,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1.0, 0, 0, 3, 1, 0, 1.0]"
공통 일본어,성호현,공통,공통교양,제2외국어,"[1, 0]","[0, 0, 3]",※ 수강신청 가능 여부와 상관 없이 수강 제한 대상에 해당하는 학생이 수강신청한 경우 수강 취소 처리할 수 있습니다.,1,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",1,1,,금/1-3,필수아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1.0, 0, 0, 3, 1, 0, 1.0]"
공통 일본어,이지사,공통,공통교양,제2외국어,"[0, 1]","[0, 0, 3]",※ 수강신청 가능 여부와 상관 없이 수강 제한 대상에 해당하는 학생이 수강신청한 경우 수강 취소 처리할 수 있습니다.,1,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",1,1,,수/1-3,필수아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1.0, 0, 0, 3, 0, 1, 1.0]"
공통 일본어,유혜경,공통,공통교양,제2외국어,"[0, 1]","[0, 0, 3]",※ 수강신청 가능 여부와 상관 없이 수강 제한 대상에 해당하는 학생이 수강신청한 경우 수강 취소 처리할 수 있습니다.,1,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",1,1,,금/4-6,필수아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1.0, 0, 0, 3, 0, 1, 1.0]"
공통 프랑스어,안성은,공통,공통교양,제2외국어,"[1, 0]","[0, 0, 3]",※ 수강신청 가능 여부와 상관 없이 수강 제한 대상에 해당하는 학생이 수강신청한 경우 수강 취소 처리할 수 있습니다.,0.8,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1,,수/1-3,필수아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.8]"
공통 프랑스어,김고운,공통,공통교양,제2외국어,"[0, 1]","[0, 0, 3]",※ 수강신청 가능 여부와 상관 없이 수강 제한 대상에 해당하는 학생이 수강신청한 경우 수강 취소 처리할 수 있습니다.,1,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1,,수/1-3,필수아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
공통 독일어,김길웅,공통,공통교양,제2외국어,"[1, 0]","[0, 0, 3]",※ 수강신청 가능 여부와 상관 없이 수강 제한 대상에 해당하는 학생이 수강신청한 경우 수강 취소 처리할 수 있습니다.,1,"[1, 0, 0, 0, 0]",0.6,0,0,"[1, 0, 0, 0]",0,1,,금/4-6,필수아님,"[0.6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
공통 스페인어,조지 부르고스,공통,공통교양,제2외국어,"[0, 1]","[0, 0, 3]",※ 수강신청 가능 여부와 상관 없이 수강 제한 대상에 해당하는 학생이 수강신청한 경우 수강 취소 처리할 수 있습니다.,1,"[0, 0, 0, 0, 0]",0.6,1,0,"[0, 0, 0, 0]",0,1,,목/4-6,필수아님,"[0.6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
공통 러시아어,이새봄,공통,공통교양,제2외국어,"[1, 0]","[0, 0, 3]",※ 수강신청 가능 여부와 상관 없이 수강 제한 대상에 해당하는 학생이 수강신청한 경우 수강 취소 처리할 수 있습니다.,1,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",1,1,,목/10-12,필수아님,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1.0, 0, 0, 3, 1, 0, 1.0]"
C-드라마 중국어,김미라,공통,공통교양,제2외국어,"[0, 1]","[0, 0, 3]",※ 수강신청 가능 여부와 상관 없이 수강 제한 대상에 해당하는 학생이 수강신청한 경우 수강 취소 처리할 수 있습니다.,1,"[0, 1, 0, 0, 0]",0.6,1,1,"[0, 1, 0, 0]",0,1,,수/1-3,필수아님,"[0.6, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
프랑스어로 떠나는 여행,신티아 로랭,공통,공통교양,제2외국어,"[1, 0]","[0, 0, 3]",※ 수강신청 가능 여부와 상관 없이 수강 제한 대상에 해당하는 학생이 수강신청한 경우 수강 취소 처리할 수 있습니다.,1,"[0, 0, 0, 0, 0]",0.6,1,0,"[0, 0, 0, 0]",0,1,,금/1-3,필수아님,"[0.6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
공통 베트남어,임도연,공통,공통교양,제2외국어,"[0, 1]","[0, 0, 3]",※ 수강신청 가능 여부와 상관 없이 수강 제한 대상에 해당하는 학생이 수강신청한 경우 수강 취소 처리할 수 있습니다.,1,"[0, 0, 0, 0, 0]",0.4,1,1,"[0, 1, 0, 0]",0,1,,금/4-6,필수아님,"[0.4, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 0, 0, 3, 0, 1, 1.0]"
